"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46"
0 0 2 4 9 12 32 43 67 130 187 312 452 774 1155 1780 2674 4036 6070 9088 13114 18579 25368 33630 43508 53662 65062 76227 86885 95932 103385 109680 114357 115930 116481 116312 114413 111136 107250 102993 98815 94376 89872 85707 81628 78355
0 0 2 1 9 12 27 41 84 119 205 327 478 757 1189 1769 2784 4131 6051 9115 13026 18617 25373 33406 42897 53746 65612 76414 86302 95819 103693 110279 113867 117129 117012 116198 114403 111333 107939 103273 98677 94671 90112 86172 81864 77890
0 0 3 1 15 10 29 53 78 154 197 325 473 732 1138 1720 2703 4173 6184 9119 12985 18227 25547 33407 43179 53965 65232 76085 86203 96130 103526 109483 113529 116019 116983 116233 113937 111076 107845 103557 99437 94957 90727 85642 81581 78244
0 0 0 6 13 20 27 43 73 103 185 306 493 794 1200 1814 2709 4081 6170 9114 13181 18552 25136 33643 43303 53910 65219 76811 86821 95394 103745 110204 114073 116611 117293 116647 114113 111143 107373 103173 99418 94272 89957 85424 81977 78476
0 0 0 2 4 17 26 46 93 120 199 312 486 745 1096 1856 2732 4175 6310 9239 13108 18568 25108 33643 43270 53956 65337 76320 85953 96399 103645 110265 114146 116881 116936 116761 114692 110772 107108 103319 99068 94671 90293 86389 82039 77980
0 0 0 5 7 18 32 48 62 118 213 304 474 769 1127 1768 2702 4193 6090 9016 13108 18542 25606 33339 43383 53942 65144 75809 86611 95954 104038 110273 113849 115853 117093 116247 114192 111405 107552 103321 98311 94273 89820 85848 82022 77923
0 0 1 0 9 16 27 53 62 126 184 289 500 737 1249 1748 2720 4126 6160 9153 13153 18772 25214 33658 43163 53660 64974 75909 86695 96092 104053 109720 114150 116106 116627 115592 113825 111620 107795 103111 99021 94631 90192 85819 82050 78769
0 0 1 0 9 18 32 44 75 101 176 303 490 734 1179 1792 2671 4060 6231 9131 13042 18415 25132 33368 43302 54121 65253 75892 85986 96008 104219 110129 114491 116756 116627 116492 115025 110974 107374 103140 98569 94110 90552 85481 82086 78308
0 0 0 2 6 16 32 47 80 116 205 329 486 761 1221 1828 2645 3995 6069 9241 12860 18497 25095 33693 43295 54122 65087 76451 86788 95710 103810 109572 114572 116446 117283 116034 114032 110810 106837 103213 98259 94533 90161 85870 81700 78347
0 0 2 0 8 17 27 53 84 127 194 273 467 712 1117 1836 2772 4269 6229 9048 13185 18109 25431 33539 43057 54006 65118 76543 85926 95948 103674 109820 114191 116319 117014 115802 113904 111677 107253 103211 98886 94717 90545 85465 82254 78492
0 0 1 0 8 20 34 36 94 105 188 292 493 700 1190 1738 2840 4199 6069 9259 13050 18442 24962 33787 43303 54087 65027 75583 86551 96235 103849 109365 113282 116617 116950 115833 114231 111360 107290 103575 98717 94632 89893 86858 82187 78368
0 0 1 3 5 17 30 47 75 107 198 287 473 757 1191 1790 2723 4096 6280 9080 13178 18407 25374 33465 43352 53644 64977 75537 86631 96020 103261 109345 114169 116754 116576 115882 113910 111937 107337 103143 98727 94329 89926 85299 82182 77810
0 0 0 3 9 19 28 47 85 128 220 329 501 744 1154 1815 2716 4127 6240 9161 13028 18533 25472 33615 43397 53670 65065 76016 86974 95783 103665 109718 113340 116187 116700 116443 114036 110980 107109 103012 98713 94586 89834 86133 82186 78317
0 0 1 3 7 15 22 32 72 119 187 286 502 786 1138 1882 2775 4106 6347 9095 13199 18344 25250 33672 43348 53913 65178 76606 86874 96207 103298 109939 113934 116179 116950 115801 113646 110719 107802 103346 98392 94630 90480 86456 81734 78066
0 0 0 8 10 12 25 40 71 141 183 344 434 744 1108 1781 2716 4220 6283 9102 13115 18323 25103 33421 43172 53609 64785 75747 86548 96407 104264 110109 113701 116096 117007 115883 114010 110509 107207 103292 99442 94343 90752 85960 82137 78094
0 0 2 2 7 19 35 33 76 146 218 280 458 759 1149 1793 2680 4142 6325 9108 13217 18312 25384 33645 42919 53991 64782 75916 86789 96202 104309 109537 113817 115665 117071 116004 113841 110742 107113 103682 98225 94759 90156 86292 82241 78498
0 0 2 6 10 15 28 49 82 116 207 329 481 821 1133 1796 2614 4218 6295 9017 12941 18674 25257 33930 43256 53826 64616 75632 86058 95661 104090 109455 114044 116157 116630 116055 113741 110793 107487 102955 99535 94728 89836 85495 81574 78478
0 0 0 7 8 13 25 46 65 118 188 344 456 749 1172 1760 2634 4179 6203 8839 13196 18661 25594 33637 43782 53947 64856 75918 86321 95705 103936 109297 114310 116621 116848 116581 114123 111231 107316 103367 99036 94500 90134 85609 82332 78144
0 0 1 6 7 14 38 42 75 112 194 285 473 755 1131 1771 2652 4141 6113 9103 13038 18416 24800 33351 43392 54259 64973 76071 86335 96228 104352 109746 113662 115975 117173 115591 113744 111481 107661 102980 99517 94201 89951 86297 81854 77834
0 0 0 6 11 19 15 50 78 119 190 339 446 769 1153 1736 2794 4222 6243 9250 12893 18400 25518 33817 43635 53347 64909 76356 86657 96034 104143 109666 113675 116330 117009 115554 114146 111390 106945 103457 98444 94664 89956 86087 82066 78229
0 0 2 5 6 12 38 53 67 126 184 268 477 753 1168 1777 2665 4207 6259 8976 13147 18380 25041 33519 43034 54267 65201 75869 86875 95957 103419 110174 114078 115956 116755 115902 113625 111109 107060 103307 98077 94040 89730 85850 81501 78829
0 0 3 1 6 16 25 34 77 139 205 306 521 759 1122 1750 2754 4090 6376 9043 13176 18290 25716 33696 43046 53493 65077 75900 86569 96268 103764 109831 114010 116629 117155 116103 113823 111014 106994 103485 98791 95267 90297 86234 81935 78672
0 0 1 1 9 20 32 65 68 139 212 289 490 737 1134 1782 2737 4114 6233 9139 13366 18494 25131 33612 43226 53917 65063 76360 86981 95808 103923 109967 113973 116356 116740 115952 114308 110746 107617 102985 99468 94400 90176 86321 82112 78203
0 0 1 4 9 16 26 51 71 107 193 298 538 832 1152 1826 2697 4103 6272 9060 13140 18631 25103 33821 43435 53824 65159 75896 86927 95566 103669 110556 114200 116103 117153 116517 113892 111205 107709 103141 98850 94797 89934 85625 81767 78548
0 0 3 6 10 20 30 56 73 134 194 338 517 757 1142 1890 2761 4009 6209 9054 13151 18388 25243 33814 43272 53859 64984 76405 86550 95967 103531 109729 114155 116368 116789 115755 113681 111199 107343 102865 99229 94692 89881 85841 82075 78254
0 0 0 5 9 15 20 44 56 125 179 311 501 798 1155 1842 2733 4277 6138 9001 13134 18320 25121 33546 43205 54189 64814 75936 86128 95890 104092 109766 113638 116791 116319 115342 114378 110820 106823 103500 98916 94525 89851 86115 81853 78206
0 0 0 2 5 11 21 54 69 120 204 283 496 743 1192 1786 2759 4057 6338 8986 12860 18475 24999 33823 43294 53343 64766 76068 86754 96094 103403 109536 113986 115460 116821 116380 114087 110897 107122 103326 98762 94684 89472 86538 81836 78461
0 0 3 7 7 12 27 64 61 117 195 324 477 734 1130 1753 2689 4197 6104 8972 13079 18367 25444 33747 43420 53327 64637 76302 87087 96324 104057 109994 113794 116165 117040 115905 114136 110168 107481 103268 99081 94816 90240 86059 82217 78421
0 0 0 3 4 26 25 46 63 130 187 289 469 727 1234 1836 2723 4197 6208 9119 13260 18715 25407 33794 43159 53698 64782 76280 86399 95684 103591 110306 113634 115755 116944 116279 113415 111412 107191 103027 99297 94252 90509 86343 81803 78021
0 0 0 5 11 14 26 47 78 123 206 284 474 694 1182 1779 2743 4187 6140 9096 13241 18535 25059 33573 43175 53781 64819 76412 86421 95492 103574 109831 113901 116016 116854 115999 114158 110919 107395 103038 99456 94238 90512 86089 81859 78158
0 0 1 3 13 21 28 43 67 126 188 270 479 703 1125 1754 2710 4149 6335 9226 13243 18698 25216 33523 43351 54010 64997 76321 86624 96058 103363 109897 113765 115737 116792 115801 114092 111533 107035 103116 98855 94697 90641 86340 81417 78399
0 0 0 3 6 14 23 53 89 112 212 287 466 720 1145 1763 2732 4160 6172 9319 13142 18504 25087 33348 42899 53922 65101 76343 86943 95321 103724 109377 113918 116299 117100 115911 114499 111102 107627 103189 98832 94446 90495 86251 81723 78225
